release_speed,spin_axis,delta_home_win_exp
77.3,64.0,-0.048
93.6,203.0,0.0
90.3,236.0,0.009
94.1,143.0,0.0
81.4,16.0,0.0
82.0,12.0,0.0
88.6,143.0,0.0
91.4,122.0,-0.011
94.3,261.0,-0.011
90.9,218.0,0.0
94.5,190.0,0.006
79.9,253.0,0.0
81.0,15.0,0.008
92.5,227.0,0.0
93.5,190.0,0.0
90.4,169.0,0.0
92.4,216.0,0.0
92.4,194.0,0.09
91.8,167.0,0.0
89.6,121.0,0.0
89.6,191.0,0.0
86.6,232.0,0.0
94.4,129.0,0.076
92.4,209.0,0.0
95.3,210.0,0.0
89.5,155.0,0.0
83.9,217.0,0.0
76.5,269.0,0.023
69.0,139.0,-0.001
96.5,204.0,0.013
90.1,217.0,0.011
87.4,187.0,0.0
87.0,243.0,0.02
69.9,289.0,0.0
92.0,138.0,-0.0139999999999999
91.1,155.0,0.0
81.4,134.0,0.0
87.0,232.0,0.0
92.8,212.0,0.0
82.6,107.0,0.0
95.1,225.0,0.0
95.2,178.0,-0.011
91.7,132.0,0.0
91.7,231.0,0.0
81.1,91.0,-0.03
96.6,230.0,0.036
87.8,98.0,0.0
92.6,130.0,0.0
93.1,197.0,0.0
93.1,136.0,0.0
87.0,196.0,0.0
92.1,190.0,0.0
86.8,222.0,0.0
81.6,195.0,0.01
89.3,154.0,0.0
84.7,58.0,0.0
90.5,156.0,-0.0069999999999999
81.9,72.0,0.0
86.0,230.0,0.0
97.5,196.0,0.0
89.5,195.0,0.031
90.9,115.0,0.0
92.1,265.0,0.0
93.0,194.0,0.012
94.4,220.0,0.115
101.2,252.0,-0.0069999999999999
96.2,130.0,0.0
89.8,210.0,0.0
97.0,160.0,0.065
91.6,230.0,0.0
101.5,231.0,0.0
83.5,119.0,0.0
85.1,111.0,0.0
91.5,162.0,0.0
90.4,211.0,0.0
96.6,151.0,0.0
87.6,243.0,0.0
86.9,266.0,0.045
82.1,84.0,0.0
95.2,192.0,-0.002
91.6,210.0,0.0
86.3,143.0,0.018
89.8,136.0,0.0
93.0,242.0,0.0
80.7,72.0,0.0
94.7,211.0,0.04
75.0,325.0,0.0
84.5,164.0,0.0
91.4,113.0,0.053
85.4,129.0,0.0
94.4,209.0,0.0
95.0,123.0,0.0
84.2,119.0,-0.059
75.8,70.0,0.0
94.9,201.0,-0.035
85.4,212.0,0.0
93.4,203.0,0.0
89.5,254.0,0.022
95.6,211.0,0.0
